city,num_matches,teamID,latitude,longitude,leagueID
London,722,80,51.4817,-0.1909,1
London,722,83,51.5549,-0.1084,1
London,722,82,51.6033,-0.0657,1
London,722,81,51.5387,0.0166,1
London,722,78,51.3983,-0.0853,1
London,722,202,51.5092,-0.2323,1
London,722,228,51.4748,-0.2212,1
Madrid,323,143,40.4168,-3.7038,4
Madrid,323,145,40.4168,-3.7038,4
Madrid,323,150,40.4168,-3.7038,4
Génova,266,102,44.4108,8.9705,2
Génova,266,101,44.4056,8.9463,2
Turín,266,98,45.1097,7.6413,2
Turín,266,113,45.0396,7.6545,2
Roma,266,96,41.9362,12.4951,2
Roma,266,95,41.9028,12.4964,2
Milán,266,106,45.4789,9.2083,2
Milán,266,111,45.4773,9.1895,2
Manchester,266,89,53.4631,-2.2913,1
Manchester,266,88,53.4831,-2.2004,1
Liverpool,266,72,53.4389,-2.9664,1
Liverpool,266,87,53.4308,-2.9608,1
Sevilla,247,153,37.3886,-5.9823,4
Sevilla,247,138,37.3886,-5.9823,4
Valencia,247,151,39.4699,-0.3763,4
Valencia,247,146,39.4699,-0.3763,4
Barcelona,247,141,41.3818,2.1228,4
Barcelona,247,148,41.3851,2.1734,4
Verona,190,94,45.4384,10.9916,2
Verona,190,109,45.4265,11.891,2
Bilbao,133,147,43.263,-2.935,4
San Sebastián,133,140,43.3183,-1.9812,4
Bérgamo,133,107,45.7228,9.6544,2
Nápoles,133,105,40.8518,14.2681,2
Udine,133,99,46.0623,13.235,2
Florencia,133,110,43.7808,11.2375,2
Vigo,133,152,42.2406,-8.7207,4
Eibar,133,156,43.183,-2.4736,4
Sassuolo,133,104,44.684,10.9131,2
Villarreal,133,154,39.9366,-0.0982,4
Leicester,133,75,52.6204,-1.1422,1
Southampton,133,74,50.9055,-1.3915,1
Niza,129,170,43.7102,7.2619,5
Lille,129,160,50.6293,3.0573,5
Marsella,128,164,43.2965,5.3698,5
Saint-Étienne,128,175,45.4528,4.3903,5
Rennes,128,163,48.1147,-1.6794,5
Nantes,128,168,47.2184,-1.5536,5
Montpellier,128,166,43.6112,3.8767,5
París,128,161,48.8412,2.253,5
Mónaco,128,171,43.7325,7.4189,5
Burdeos,127,176,44.8378,-0.5792,5
Lyon,127,178,45.7652,4.8357,5
Múnich,119,117,48.2188,11.6242,3
Leverkusen,119,119,51.0385,7.0026,3
Augsburg,119,121,48.3715,10.8983,3
Bremen,119,123,53.0722,8.807,3
 Maguncia,119,125,49.9842,8.2791,3
 Dortmund,119,129,51.4926,7.4518,3
 Wolfsburgo,119,131,52.4226,10.7866,3
 Mönchengladbach,119,130,51.1744,6.3863,3
Berlín,119,122,52.52,13.405,3
Sinsheim,119,120,49.2921,8.6669,3
Gelsenkirchen,119,124,51.5545,7.0679,3
 Frankfurt,119,132,50.0686,8.6455,3
Burnley,114,92,53.789,-2.2301,1
Bolonia,114,97,44.5041,11.3438,2
Cagliari,114,116,39.2154,9.1097,2
Newcastle upon Tyne,114,86,54.9756,-1.6175,1
Getafe,114,142,40.3083,-3.7327,4
Angers,110,167,47.4736,-0.5465,5
Toulouse,108,174,43.6045,1.444,5
 Friburgo de Brisgovia,102,135,47.9972,7.8539,3
 Colonia,102,134,50.9333,6.95,3
West Bromwich,95,76,52.5093,-1.9635,1
Granada,95,155,37.1765,-3.5979,4
Bournemouth,95,73,50.7353,-1.8381,1
Watford,95,90,51.649,-0.4019,1
Caen,95,165,49.1829,-0.3707,5
Vitoria-Gasteiz,95,158,42.8467,-2.6717,4
Guingamp,95,169,48.5641,-3.1649,5
Reims,90,177,49.2563,4.0319,5
Metz,90,180,49.1193,6.1757,5
Dijon,90,181,47.3216,5.0415,5
 Stuttgart,85,133,48.7758,9.1829,3
 Leipzig,85,136,51.344,12.3426,3
Leganes,76,159,40.3272,-3.7655,4
Parma,76,230,44.8015,10.3281,2
Empoli,76,108,43.7193,10.95,2
Málaga,76,137,36.7213,-4.4216,4
A Coruña,76,139,43.3623,-8.4115,4
Lorient,76,179,47.7486,-3.37,5
Stoke-on-Trent,76,85,52.9885,-2.1751,1
Birmingham,76,71,52.509,-1.8845,1
Brighton,76,220,50.8615,-0.0837,1
Swansea,76,84,51.6427,-3.9345,1
Estrasburgo,70,225,48.5734,7.7521,5
Hamburgo,68,118,53.5511,9.9937,3
 Hannover,68,128,52.3759,9.732,3
Wolverhampton,57,229,52.5901,-2.1307,1
Ferrara,57,221,45.4068,11.8535,2
Valladolid,57,231,41.6523,-4.7245,4
Palermo,57,100,38.1157,13.3615,2
Crotone,57,115,39.0833,17.1233,2
Pamplona,57,157,42.8125,-1.6458,4
Las Palmas de Gran Canaria,57,144,28.1235,-15.4363,4
Sunderland,57,77,54.9146,-1.3824,1
Bastia,56,162,42.6936,9.4515,5
Amiens,52,224,49.8942,2.3027,5
Nimes,52,235,43.8345,4.3619,5
Lens,38,210,50.4354,2.829,5
Elche,38,207,38.2699,-0.7126,4
Benevento,38,222,41.1309,14.7834,2
Girona,38,223,41.9794,2.8214,4
Troyes,38,172,48.2996,4.0785,5
Hull,38,91,53.7457,-0.3367,1
Huddersfield,38,219,53.6542,-1.7841,1
Frosinone,38,112,41.6395,13.3512,2
Huesca,38,232,42.1401,-0.4089,4
Gijón,38,149,43.545,-5.6611,4
Norwich,38,79,52.6226,1.3087,1
Sheffield,38,238,53.3702,-1.4703,1
 Berlín,34,240,52.4737,13.4354,3
 Düsseldorf,34,233,51.2647,6.7886,3
 Paderborn,34,205,51.7191,8.7549,3
 Darmstadt,34,127,49.8728,8.6512,3
 Ingolstadt,34,126,48.7666,11.4255,3
Brest,33,241,48.4027,-4.4931,5
Brescia,19,242,45.5415,10.2165,2
Palma,19,239,39.5696,2.6502,4
Leeds,19,245,53.8008,-1.5491,1
La Spezia,19,260,44.1086,9.827,2
Cádiz,19,261,36.5164,-6.28,4
Lecce,19,243,40.3514,18.1743,2
Pescara,19,114,42.464,14.2136,2
